"","X.1","X","Unique.IDs","Rank","Anime.Title","English.Title","Synonyms","Score","Scored.by","Type","Source","Episode.Count","Status","Aired.from","Aired.to","Airing.Duration..in.weeks.","Season","Release.Year","Broadcast.Day","Broadcast.JST","Producers","Licensors","Studio","Genre","Theme","Demographic","Duration.per.Episode","Rating","Popularity.Rank","Members","Favorites","Recommended.Votes","Reviews.received","Anime.URLs","Image.URLs","Percent.red","Percent.blue","Percent.green","Percent.white","Percent.black"
"1",1,1,5114,1,"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist: Brotherhood","Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",9.1,2052701,"TV","Manga",64,"Finished Airing","2009-04-05","2010-07-04",65,"Spring",2009,"Sunday","17:00","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America","Bones","Action",NA,"Shounen","24 min","R - 17+ (violence & profanity)",3,3233264,220422,896,983,"https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood","https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a",0.371043343374849,0.331457507691714,0.297499148933437,0.636857142857143,0.363142857142857
"2",2,2,9253,2,"Steins;Gate","Steins;Gate",NA,9.07,1358933,"TV","Visual novel",24,"Finished Airing","2011-04-06","2011-09-14",23,"Spring",2011,"Wedneday","02:05","Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Funimation","White Fox","Drama","Psychological, Time Travel",NA,"24 min","PG-13 - Teens 13 or older",13,2484857,185496,977,1117,"https://myanimelist.net/anime/9253/Steins_Gate","https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca",0.325976038031834,0.318491940058458,0.355532021909708,0.833714285714286,0.166285714285714
"3",3,3,28977,3,"Gintama°","Gintama Season 4","Gintama' (2015)",9.06,242778,"TV","Manga",51,"Finished Airing","2015-04-08","2016-03-30",51,"Spring",2015,"Wedneday","18:00","TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll","Bandai Namco Pictures","Action","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",335,608619,16249,77,81,"https://myanimelist.net/anime/28977/Gintama°","https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209",0.344223816302125,0.315342508040991,0.340433675656884,0.755714285714286,0.244285714285714
"4",4,4,41467,4,"Bleach: Sennen Kessen-hen","Bleach: Thousand-Year Blood War","Bleach: Thousand-Year Blood War Arc",9.05,242278,"TV","Manga",13,"Finished Airing","2022-10-11","2022-12-27",11,"Fall",2022,"Tueday","00:00","TV Tokyo, Aniplex, Dentsu, Shueisha","VIZ Media","Pierrot","Action",NA,"Shounen","24 min","R - 17+ (violence & profanity)",439,484240,19371,97,123,"https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1908/135431.jpg?s=90ea032d3ed39b3093ec6b6dc6be844f",0.534110872616884,0.227988083799729,0.237901043583386,0.366857142857143,0.633142857142857
"5",5,5,39486,5,"Gintama: The Final","Gintama: The Very Final",NA,9.05,66670,"Movie","Manga",1,"Finished Airing","2021-01-08",NA,NA,NA,NA,NA,NA,"TV Tokyo, Warner Bros. Japan","Eleven Arts","Bandai Namco Pictures","Action","Gag Humor, Historical, Parody, Samurai","Shounen","1 hr 44 min","PG-13 - Teens 13 or older",1556,139141,4154,70,75,"https://myanimelist.net/anime/39486/Gintama__The_Final","https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c",0.453143960340707,0.284696507535773,0.262159532123519,0.642285714285714,0.357714285714286
"6",6,6,38524,6,"Shingeki no Kyojin Season 3 Part 2","Attack on Titan Season 3 Part 2",NA,9.05,1509242,"TV","Manga",10,"Finished Airing","2019-04-29","2019-07-01",9,"Spring",2019,"Monday","00:10","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises","Funimation","Wit Studio","Action","Gore, Military, Survival","Shounen","23 min","R - 17+ (violence & profanity)",22,2161598,56228,191,211,"https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2","https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100",0.427738800805227,0.310627246250539,0.261633952944235,0.716857142857143,0.283142857142857
"7",7,7,9969,7,"Gintama'","Gintama Season 2","Gintama (2011)",9.04,230304,"TV","Manga",51,"Finished Airing","2011-04-04","2012-03-26",51,"Spring",2011,"Monday","18:00","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",NA,"Sunrise","Action","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",390,537441,7925,39,41,"https://myanimelist.net/anime/9969/Gintama","https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7",0.360918614566273,0.334995871851441,0.304085513582286,0.733142857142857,0.266857142857143
"8",8,8,11061,8,"Hunter x Hunter (2011)","Hunter x Hunter","HxH (2011)",9.04,1689630,"TV","Manga",148,"Finished Airing","2011-10-02","2014-09-24",155.43,"Fall",2011,"Sunday","10:55","VAP, Nippon Television Network, Shueisha","VIZ Media","Madhouse","Action",NA,"Shounen","23 min","PG-13 - Teens 13 or older",10,2717015,203797,756,865,"https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011","https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701",0.385856386853422,0.316285869192826,0.297857743953752,0.812571428571429,0.187428571428571
"9",9,9,43608,9,"Kaguya-sama wa Kokurasetai: Ultra Romantic","Kaguya-sama: Love is War - Ultra Romantic","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",9.04,478455,"TV","Manga",13,"Finished Airing","2022-04-09","2022-06-25",11,"Spring",2022,"Saturday","00:00","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications","Aniplex of America","A-1 Pictures","Comedy",NA,"Seinen","23 min","PG-13 - Teens 13 or older",188,861081,30056,204,230,"https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic","https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737",0.35374409539222,0.323056536619502,0.323199367988278,0.676857142857143,0.323142857142857
"10",10,10,15417,10,"Gintama': Enchousen","Gintama: Enchousen","Gintama' (2012), Gintama' Overdrive, Kintama",9.03,160462,"TV","Manga",13,"Finished Airing","2012-10-04","2013-03-28",25,"Fall",2012,"Thurday","18:00","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",NA,"Sunrise","Action","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",725,315030,2983,24,24,"https://myanimelist.net/anime/15417/Gintama__Enchousen","https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e",0.3741679311877,0.32078767783637,0.30504439097593,0.506285714285714,0.493714285714286
