"Unique.IDs","Rank","Anime.Title","English.Title","Synonyms","Score","Scored.by","Type","Source","Episode.Count","Status","Aired.from","Aired.to","Airing.Duration..in.weeks.","Season","Release.Year","Broadcast.Day","Broadcast.JST","Producers","Licensors","Studio","Genre","Theme","Demographic","Duration.per.Episode","Rating","Popularity.Rank","Members","Favorites","Recommended.Votes","Reviews.received","Anime.URLs","Image.URLs"
5114,1,"Fullmetal Alchemist: Brotherhood","Fullmetal Alchemist: Brotherhood","Hagane no Renkinjutsushi: Fullmetal Alchemist, Fullmetal Alchemist (2009), FMA, FMAB",9.1,2052701,"TV","Manga",64,"Finished Airing",2009-04-05,2010-07-04,65,"Spring","2009","Sunday","17:00","Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken","Funimation, Aniplex of America","Bones","Action, Adventure, Drama, Fantasy",NA,"Shounen","24 min","R - 17+ (violence & profanity)",3,3233264,220422,896,983,"https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood","https://cdn.myanimelist.net/r/50x70/images/anime/1208/94745.jpg?s=7892d01b6c74f1bf945f7a3ff3bb1f6a"
9253,2,"Steins;Gate","Steins;Gate",NA,9.07,1358933,"TV","Visual novel",24,"Finished Airing",2011-04-06,2011-09-14,23,"Spring","2011","Wedneday","02:05","Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus","Funimation","White Fox","Drama, Sci-Fi, Suspense","Psychological, Time Travel",NA,"24 min","PG-13 - Teens 13 or older",13,2484857,185496,977,1117,"https://myanimelist.net/anime/9253/Steins_Gate","https://cdn.myanimelist.net/r/50x70/images/anime/1935/127974.jpg?s=cd8506e6d26bad48a78aa985477a55ca"
28977,3,"Gintama°","Gintama Season 4","Gintama' (2015)",9.06,242778,"TV","Manga",51,"Finished Airing",2015-04-08,2016-03-30,51,"Spring","2015","Wedneday","18:00","TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll","Bandai Namco Pictures","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",335,608619,16249,77,81,"https://myanimelist.net/anime/28977/Gintama°","https://cdn.myanimelist.net/r/50x70/images/anime/3/72078.jpg?s=e9537ac90c08758594c787ede117f209"
41467,4,"Bleach: Sennen Kessen-hen","Bleach: Thousand-Year Blood War","Bleach: Thousand-Year Blood War Arc",9.05,242278,"TV","Manga",13,"Finished Airing",2022-10-11,2022-12-27,11,"Fall","2022","Tueday","00:00","TV Tokyo, Aniplex, Dentsu, Shueisha","VIZ Media","Pierrot","Action, Adventure, Fantasy",NA,"Shounen","24 min","R - 17+ (violence & profanity)",439,484240,19371,97,123,"https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1908/135431.jpg?s=90ea032d3ed39b3093ec6b6dc6be844f"
39486,5,"Gintama: The Final","Gintama: The Very Final",NA,9.05,66670,"Movie","Manga",1,"Finished Airing",2021-01-08,NA,NA,NA,NA,NA,NA,"TV Tokyo, Warner Bros. Japan","Eleven Arts","Bandai Namco Pictures","Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","1 hr 44 min","PG-13 - Teens 13 or older",1556,139141,4154,70,75,"https://myanimelist.net/anime/39486/Gintama__The_Final","https://cdn.myanimelist.net/r/50x70/images/anime/1245/116760.jpg?s=8f52d6ff46ef1233eb9fcd542434221c"
38524,6,"Shingeki no Kyojin Season 3 Part 2","Attack on Titan Season 3 Part 2",NA,9.05,1509242,"TV","Manga",10,"Finished Airing",2019-04-29,2019-07-01,9,"Spring","2019","Monday","00:10","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises","Funimation","Wit Studio","Action, Drama, Suspense","Gore, Military, Survival","Shounen","23 min","R - 17+ (violence & profanity)",22,2161598,56228,191,211,"https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2","https://cdn.myanimelist.net/r/50x70/images/anime/1517/100633.jpg?s=4540a01b5883647ade494cd28392f100"
9969,7,"Gintama'","Gintama Season 2","Gintama (2011)",9.04,230304,"TV","Manga",51,"Finished Airing",2011-04-04,2012-03-26,51,"Spring","2011","Monday","18:00","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Miracle Robo, Studio Jack, Shueisha",NA,"Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",390,537441,7925,39,41,"https://myanimelist.net/anime/9969/Gintama","https://cdn.myanimelist.net/r/50x70/images/anime/4/50361.jpg?s=b3a061db8c3d42a055d58f9df1f3dac7"
11061,8,"Hunter x Hunter (2011)","Hunter x Hunter","HxH (2011)",9.04,1689630,"TV","Manga",148,"Finished Airing",2011-10-02,2014-09-24,155.43,"Fall","2011","Sunday","10:55","VAP, Nippon Television Network, Shueisha","VIZ Media","Madhouse","Action, Adventure, Fantasy",NA,"Shounen","23 min","PG-13 - Teens 13 or older",10,2717015,203797,756,865,"https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011","https://cdn.myanimelist.net/r/50x70/images/anime/1337/99013.jpg?s=1838e905a0aa3542a009fbcf78000701"
43608,9,"Kaguya-sama wa Kokurasetai: Ultra Romantic","Kaguya-sama: Love is War - Ultra Romantic","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season, Kaguya-sama: Love is War Season 3rd Season",9.04,478455,"TV","Manga",13,"Finished Airing",2022-04-09,2022-06-25,11,"Spring","2022","Saturday","00:00","Aniplex, Mainichi Broadcasting System, Magic Capsule, Shueisha, JR East Marketing & Communications","Aniplex of America","A-1 Pictures","Comedy, Romance",NA,"Seinen","23 min","PG-13 - Teens 13 or older",188,861081,30056,204,230,"https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic","https://cdn.myanimelist.net/r/50x70/images/anime/1160/122627.jpg?s=9b41450e9598d10c97fb4eeb7cca3737"
15417,10,"Gintama': Enchousen","Gintama: Enchousen","Gintama' (2012), Gintama' Overdrive, Kintama",9.03,160462,"TV","Manga",13,"Finished Airing",2012-10-04,2013-03-28,25,"Fall","2012","Thurday","18:00","TV Tokyo, Aniplex, Dentsu, Shueisha, Miracle Bus",NA,"Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",725,315030,2983,24,24,"https://myanimelist.net/anime/15417/Gintama__Enchousen","https://cdn.myanimelist.net/r/50x70/images/anime/1452/123686.jpg?s=9691ed28cdfeb56ce6881faf2adbf01e"
51535,11,"Shingeki no Kyojin: The Final Season - Kanketsu-hen","Attack on Titan: The Final Season - Final Chapters","Shingeki no Kyojin: The Final Season Part 3, Shingeki no Kyojin Season 4, Attack on Titan Season 4",9.03,182162,"Special","Manga",2,"Currently Airing",2023-03-04,2023-11-05,35.14,NA,NA,NA,NA,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",NA,"MAPPA","Action, Drama, Suspense","Gore, Military, Survival","Shounen","1 hr 1 min","R - 17+ (violence & profanity)",441,483871,10138,65,88,"https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1279/131078.jpg?s=d6d04a0dcc347ba55e0243b75b0ad5dd"
820,12,"Ginga Eiyuu Densetsu","Legend of the Galactic Heroes","LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel",9.02,76775,"OVA","Novel",110,"Finished Airing",1988-01-08,1997-03-17,479.43,NA,NA,NA,NA,"TV Tokyo, Kitty Films, Tokuma Shoten, Tokuma Japan Communications, Wright Staff","Sentai Filmworks","K-Factory, Kitty Film Mitaka Studio","Drama, Sci-Fi","Adult Cast, Military, Space",NA,"26 min","R - 17+ (violence & profanity)",738,310796,15900,159,182,"https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu","https://cdn.myanimelist.net/r/50x70/images/anime/13/13225.jpg?s=385cedad342e284c5765833ab1cddc1c"
52991,13,"Sousou no Frieren","Frieren: Beyond Journey's End","Frieren at the Funeral",9,19471,"TV","Manga",NA,"Currently Airing",2023-09-29,2023-10-03,0.57,"Fall","2023","Friday","23:00","Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",NA,"Madhouse","Adventure, Drama, Fantasy",NA,"Shounen","25 min","PG-13 - Teens 13 or older",1526,142234,1319,0,0,"https://myanimelist.net/anime/52991/Sousou_no_Frieren","https://cdn.myanimelist.net/r/50x70/images/anime/1015/138006.jpg?s=09c2f2dec5891d8e8fbb9fa3b23c75b4"
42938,14,"Fruits Basket: The Final","Fruits Basket: The Final Season","Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",8.99,220753,"TV","Manga",13,"Finished Airing",2021-04-06,2021-06-29,12,"Spring","2021","Tueday","01:30","TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN","Funimation","TMS Entertainment","Drama, Romance, Supernatural",NA,"Shoujo","23 min","PG-13 - Teens 13 or older",479,448080,19346,135,160,"https://myanimelist.net/anime/42938/Fruits_Basket__The_Final","https://cdn.myanimelist.net/r/50x70/images/anime/1085/114792.jpg?s=bb4303c0804c9d5ca9fcb30b8f8e6783"
34096,15,"Gintama.","Gintama Season 5","Gintama (2017)",8.98,141105,"TV","Manga",12,"Finished Airing",2017-01-09,2017-03-27,11,"Winter","2017","Monday","01:35","TV Tokyo, Aniplex, Dentsu, Shueisha",NA,"Bandai Namco Pictures","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",753,303950,2677,23,27,"https://myanimelist.net/anime/34096/Gintama","https://cdn.myanimelist.net/r/50x70/images/anime/3/83528.jpg?s=948f092dd55fb2572f38a0e21f03b642"
918,16,"Gintama","Gintama","Gin Tama, Silver Soul, Yorinuki Gintama-san",8.94,386900,"TV","Manga",201,"Finished Airing",2006-04-04,2010-03-25,207.29,"Spring","2006","Thurday","18:00","TV Tokyo, Aniplex, Dentsu, Trinity Sound, Audio Highs, Miracle Robo, Shueisha","Sentai Filmworks, Crunchyroll","Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",139,1038704,58336,262,280,"https://myanimelist.net/anime/918/Gintama","https://cdn.myanimelist.net/r/50x70/images/anime/10/73274.jpg?s=ed42453c10ba12b03b1600d02725a174"
28851,17,"Koe no Katachi","A Silent Voice","The Shape of Voice",8.94,1554614,"Movie","Manga",1,"Finished Airing",2016-09-17,NA,NA,NA,NA,NA,NA,"Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post","Kyoto Animation","Award Winning, Drama",NA,"Shounen","2 hr 10 min","PG-13 - Teens 13 or older",20,2240565,84863,593,700,"https://myanimelist.net/anime/28851/Koe_no_Katachi","https://cdn.myanimelist.net/r/50x70/images/anime/1122/96435.jpg?s=56d2750d600af93a5d326daec7748cae"
35180,18,"3-gatsu no Lion 2nd Season","March Comes In Like a Lion 2nd Season","Sangatsu no Lion Second Season",8.93,193930,"TV","Manga",22,"Finished Airing",2017-10-14,2018-03-31,24,"Fall","2017","Saturday","23:00","Aniplex, Dentsu, NHK, Hakusensha, Asmik Ace, Toy's Factory","Aniplex of America","Shaft",NA,"Childcare, Iyashikei, Strategy Game","Seinen","25 min","PG-13 - Teens 13 or older",559,390174,14922,113,126,"https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/3/88469.jpg?s=becfbf556902bc3501e06a07354b9d76"
4181,19,"Clannad: After Story","Clannad: After Story",NA,8.93,646637,"TV","Visual novel",24,"Finished Airing",2008-10-03,2009-03-27,25,"Fall","2008","Friday","01:59","Pony Canyon, TBS, Rakuonsha, Animation Do","Sentai Filmworks","Kyoto Animation","Drama, Romance, Supernatural",NA,NA,"24 min","PG-13 - Teens 13 or older",117,1164892,69460,618,678,"https://myanimelist.net/anime/4181/Clannad__After_Story","https://cdn.myanimelist.net/r/50x70/images/anime/1299/110774.jpg?s=fcd9db2cfd72c10a2278f483173cfff9"
2904,20,"Code Geass: Hangyaku no Lelouch R2","Code Geass: Lelouch of the Rebellion R2","Code Geass: Hangyaku no Lelouch 2nd Season, Code Geass: Hangyaku no Lelouch Second Season",8.91,1162346,"TV","Original",25,"Finished Airing",2008-04-06,2008-09-28,25,"Spring","2008","Sunday","17:00","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment","Sunrise","Action, Award Winning, Drama, Sci-Fi","Mecha, Military, Super Power",NA,"24 min","R - 17+ (violence & profanity)",47,1728002,75413,340,397,"https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2","https://cdn.myanimelist.net/r/50x70/images/anime/1088/135089.jpg?s=8228f599281b29c489dfc5a0a5761d0f"
15335,21,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Gintama: The Movie: The Final Chapter: Be Forever Yorozuya","Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2",8.91,131781,"Movie","Manga",1,"Finished Airing",2013-07-06,NA,NA,NA,NA,NA,NA,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",NA,"Sunrise","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai, Time Travel","Shounen","1 hr 50 min","PG-13 - Teens 13 or older",988,233595,2092,40,43,"https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare","https://cdn.myanimelist.net/r/50x70/images/anime/10/51723.jpg?s=27cd24446486572fb64c42a689d38902"
37987,22,"Violet Evergarden Movie","Violet Evergarden: The Movie","Gekijouban Violet Evergarden",8.89,252310,"Movie","Light novel",1,"Finished Airing",2020-09-18,NA,NA,NA,NA,NA,NA,"Shochiku, ABC Animation","Funimation","Kyoto Animation","Award Winning, Drama, Fantasy",NA,NA,"2 hr 20 min","PG-13 - Teens 13 or older",365,570231,8419,166,210,"https://myanimelist.net/anime/37987/Violet_Evergarden_Movie","https://cdn.myanimelist.net/r/50x70/images/anime/1825/110716.jpg?s=3ad8359182d0b47905f28d0a68683171"
35247,23,"Owarimonogatari 2nd Season","Owarimonogatari Second Season","End Story 2nd Season",8.88,186281,"TV","Light novel",7,"Finished Airing",2017-08-12,2017-08-13,0.14,"Summer","2017","Not","once","Aniplex, Kodansha","Aniplex of America","Shaft","Comedy, Mystery, Supernatural",NA,NA,"22 min","R - 17+ (violence & profanity)",567,386847,8515,52,55,"https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/6/87322.jpg?s=3e60507a4b6016d83e7433aa4cb7853e"
37491,24,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen","Gintama.: Silver Soul Arc - Second Half War","Gintama.: Silver Soul Arc 2",8.88,91753,"TV","Manga",14,"Finished Airing",2018-07-09,2018-10-08,13,"Summer","2018","Monday","01:35","TV Tokyo, Aniplex, Dentsu, Shueisha",NA,"Bandai Namco Pictures","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",1191,190526,1023,13,19,"https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen","https://cdn.myanimelist.net/r/50x70/images/anime/1776/96566.jpg?s=e1aed468f049dd9444375e9149d33d65"
19,25,"Monster","Monster",NA,8.87,386545,"TV","Manga",74,"Finished Airing",2004-04-07,2005-09-28,77,"Spring","2004","Wedneday","00:40","VAP, Shogakukan-Shueisha Productions, Nippon Television Network","VIZ Media","Madhouse","Drama, Mystery, Suspense","Adult Cast, Psychological","Seinen","24 min","R+ - Mild Nudity",137,1051229,49463,371,439,"https://myanimelist.net/anime/19/Monster","https://cdn.myanimelist.net/r/50x70/images/anime/10/18793.jpg?s=08c4f10a101c3835eeb14ca0715512bd"
53998,26,"Bleach: Sennen Kessen-hen - Ketsubetsu-tan","Bleach: Thousand-Year Blood War - The Separation","Bleach: Thousand-Year Blood War Arc Part 2",8.85,67656,"TV","Manga",13,"Finished Airing",2023-07-08,2023-09-30,12,"Summer","2023","Saturday","23:00","TV Tokyo, Aniplex, Dentsu, Shueisha, Zack Promotion",NA,"Pierrot","Action, Adventure, Fantasy",NA,"Shounen","24 min","R - 17+ (violence & profanity)",1140,200997,3258,14,20,"https://myanimelist.net/anime/53998/Bleach__Sennen_Kessen-hen_-_Ketsubetsu-tan","https://cdn.myanimelist.net/r/50x70/images/anime/1164/138058.jpg?s=101a025f33ee0575a6a5a5e500e3d3c6"
32281,27,"Kimi no Na wa.","Your Name.",NA,8.84,1841045,"Movie","Original",1,"Finished Airing",2016-08-26,NA,NA,NA,NA,NA,NA,"TOHO, Sound Team Don Juan, Amuse, JR East Marketing & Communications, Kadokawa, voque ting","Funimation, NYAV Post","CoMix Wave Films","Award Winning, Drama, Supernatural",NA,NA,"1 hr 46 min","PG-13 - Teens 13 or older",11,2648491,88445,806,946,"https://myanimelist.net/anime/32281/Kimi_no_Na_wa","https://cdn.myanimelist.net/r/50x70/images/anime/5/87048.jpg?s=2bca128fcb9dfd6d0908f3d9986576c6"
45649,28,"The First Slam Dunk",NA,NA,8.83,8159,"Movie","Manga",1,"Finished Airing",2022-12-03,NA,NA,NA,NA,NA,NA,"Shueisha","GKIDS","Toei Animation, DandeLion Animation Studio","Award Winning, Sports","School, Team Sports","Shounen","2 hr 4 min","PG-13 - Teens 13 or older",3942,29176,386,19,24,"https://myanimelist.net/anime/45649/The_First_Slam_Dunk","https://cdn.myanimelist.net/r/50x70/images/anime/1745/129284.jpg?s=0a4aa56dd7a19b280e4cdd09aaad81a6"
51009,29,"Jujutsu Kaisen 2nd Season","Jujutsu Kaisen Season 2","Jujutsu Kaisen: Kaigyoku Gyokusetsu, Jujutsu Kaisen: Shibuya Jihen, Sorcery Fight, JJK",8.83,109911,"TV","Manga",23,"Currently Airing",2023-07-06,2023-10-03,12.71,"Summer","2023","Thurday","23:56","Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap",NA,"MAPPA","Action, Fantasy",NA,"Shounen","23 min","R - 17+ (violence & profanity)",336,604436,9527,25,38,"https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1792/138022.jpg?s=1f89c1e9b9bf47ab767f075edf5d313f"
52198,30,"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai","Kaguya-sama: Love is War - The First Kiss That Never Ends",NA,8.83,106685,"Movie","Manga",1,"Finished Airing",2022-12-17,NA,NA,NA,NA,NA,NA,"Aniplex, Mainichi Broadcasting System, Shueisha, JR East Marketing & Communications","Aniplex of America","A-1 Pictures","Comedy, Drama, Romance",NA,"Seinen","1 hr 36 min","PG-13 - Teens 13 or older",1083,213073,1555,44,54,"https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai","https://cdn.myanimelist.net/r/50x70/images/anime/1670/130060.jpg?s=d6b458f3a59a4c5ae4a2ee526feb690f"
47917,31,"Bocchi the Rock!","Bocchi the Rock!",NA,8.82,283223,"TV","4-koma manga",12,"Finished Airing",2022-10-09,2022-12-25,11,"Fall","2022","Sunday","00:00","Aniplex, Houbunsha",NA,"CloverWorks",NA,"CGDCT, Music",NA,"23 min","PG-13 - Teens 13 or older",447,478158,23348,295,346,"https://myanimelist.net/anime/47917/Bocchi_the_Rock","https://cdn.myanimelist.net/r/50x70/images/anime/1448/127956.jpg?s=81e0f14a54c27c6d8046fced1a046f28"
36838,32,"Gintama.: Shirogane no Tamashii-hen","Gintama.: Silver Soul Arc",NA,8.81,100214,"TV","Manga",12,"Finished Airing",2018-01-08,2018-03-26,11,"Winter","2018","Monday","01:35","TV Tokyo, Aniplex, Dentsu, Shueisha",NA,"Bandai Namco Pictures","Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai","Shounen","24 min","PG-13 - Teens 13 or older",1124,204837,1141,16,21,"https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen","https://cdn.myanimelist.net/r/50x70/images/anime/12/89603.jpg?s=635cb89402d5d39f43767f3942e91206"
40682,33,"Kingdom 3rd Season","Kingdom: Season 3",NA,8.81,35988,"TV","Manga",26,"Finished Airing",2020-04-06,2021-10-17,79.86,"Spring","2020","Monday","00:10","Shueisha","Funimation","Pierrot, Studio Signpost",NA,"Historical, Military","Seinen","25 min","R - 17+ (violence & profanity)",2053,94557,1917,20,22,"https://myanimelist.net/anime/40682/Kingdom_3rd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1443/111830.jpg?s=a67f547ff56d05b36123d793df962b45"
49387,34,"Vinland Saga Season 2","Vinland Saga Season 2",NA,8.81,234561,"TV","Manga",24,"Finished Airing",2023-01-10,2023-06-20,23,"Winter","2023","Tueday","00:30","Dentsu, Kodansha, Twin Engine",NA,"MAPPA","Action, Adventure, Drama","Gore, Historical","Seinen","25 min","R - 17+ (violence & profanity)",414,510436,10872,127,187,"https://myanimelist.net/anime/49387/Vinland_Saga_Season_2","https://cdn.myanimelist.net/r/50x70/images/anime/1170/124312.jpg?s=ea717ad18c8bf0f21078491e981e97a1"
37510,35,"Mob Psycho 100 II","Mob Psycho 100 II","Mob Psycho 100 2nd Season, Mob Psycho Hyaku, Mob Psycho One Hundred",8.8,925003,"TV","Web manga",13,"Finished Airing",2019-01-07,2019-04-01,12,"Winter","2019","Monday","23:00","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation","Bones","Action, Comedy, Supernatural",NA,NA,"24 min","PG-13 - Teens 13 or older",74,1467187,31843,172,192,"https://myanimelist.net/anime/37510/Mob_Psycho_100_II","https://cdn.myanimelist.net/r/50x70/images/anime/1918/96303.jpg?s=b5b51cff7ba201e4f1acf37f4f44e224"
31758,36,"Kizumonogatari III: Reiketsu-hen","Kizumonogatari Part 3: Cold-Blooded","Koyomi Vamp",8.79,260142,"Movie","Light novel",1,"Finished Airing",2017-01-06,NA,NA,NA,NA,NA,NA,"Aniplex, Kodansha","Aniplex of America","Shaft","Action, Mystery, Supernatural",NA,NA,"1 hr 23 min","R - 17+ (violence & profanity)",481,447586,7302,41,47,"https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1084/112813.jpg?s=db4fcf9c5e229584ca1b04bcebe2c3dc"
40028,37,"Shingeki no Kyojin: The Final Season","Attack on Titan: Final Season","Shingeki no Kyojin Season 4, Attack on Titan Season 4",8.79,1252924,"TV","Manga",16,"Finished Airing",2020-12-07,2021-03-29,16,"Winter","2021","Monday","00:10","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises","Funimation","MAPPA","Action, Drama, Suspense","Gore, Military, Survival","Shounen","23 min","R - 17+ (violence & profanity)",40,1895139,51674,303,392,"https://myanimelist.net/anime/40028/Shingeki_no_Kyojin__The_Final_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1000/110531.jpg?s=3df5ebb6800604dc04c6a6187dd7161b"
47778,38,"Kimetsu no Yaiba: Yuukaku-hen","Demon Slayer: Kimetsu no Yaiba Entertainment District Arc",NA,8.78,827937,"TV","Manga",11,"Finished Airing",2021-12-05,2022-02-13,10,"Winter","2022","Sunday","23:15","Aniplex, Shueisha","Aniplex of America, Crunchyroll","ufotable","Action, Fantasy",NA,"Shounen","26 min","R - 17+ (violence & profanity)",95,1317828,24027,191,267,"https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen","https://cdn.myanimelist.net/r/50x70/images/anime/1908/120036.jpg?s=34065463bac342e6efe8bfdbed5d24de"
199,39,"Sen to Chihiro no Kamikakushi","Spirited Away","Sen and Chihiro's Spiriting Away",8.78,1257499,"Movie","Original",1,"Finished Airing",2001-07-20,NA,NA,NA,NA,NA,NA,"Dentsu, TOHO, Tokuma Shoten, Tohokushinsha Film Corporation, Nippon Television Network, Mitsubishi","Disney Platform Distribution, GKIDS","Studio Ghibli","Adventure, Award Winning, Supernatural",NA,NA,"2 hr 4 min","PG - Children",44,1794036,31808,223,251,"https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi","https://cdn.myanimelist.net/r/50x70/images/anime/6/79597.jpg?s=1f170071bc9a54ce2ba3c0d8c7aa6927"
32935,40,"Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou","Haikyu!! 3rd Season","Haikyuu!! Third Season, Haikyuu!! Karasuno High VS Shiratorizawa Academy",8.78,771799,"TV","Manga",10,"Finished Airing",2016-10-08,2016-12-10,9,"Fall","2016","Saturday","01:55","Dentsu, Mainichi Broadcasting System, Movic, Sony Music Entertainment, TOHO animation, Shueisha","Sentai Filmworks","Production I.G",NA,"School, Team Sports","Shounen","24 min","PG-13 - Teens 13 or older",118,1162762,15284,70,73,"https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou","https://cdn.myanimelist.net/r/50x70/images/anime/7/81992.jpg?s=6d977383e0b5dc1ba1c122213178e547"
52034,41,"""Oshi no Ko""","[Oshi No Ko]","My Star",8.77,374955,"TV","Manga",11,"Finished Airing",2023-04-12,2023-06-28,11,"Spring","2023","Wedneday","23:00","Shueisha, CyberAgent, Kadokawa","Sentai Filmworks","Doga Kobo","Drama, Supernatural","Reincarnation, Showbiz","Seinen","30 min","PG-13 - Teens 13 or older",291,667245,25491,192,299,"https://myanimelist.net/anime/52034/Oshi_no_Ko","https://cdn.myanimelist.net/r/50x70/images/anime/1812/134736.jpg?s=01b78ed332b657214ffb3bae89bdcd31"
17074,42,"Monogatari Series: Second Season","Monogatari Series: Second Season","Nekomonogatari: Shiro, Kabukimonogatari, Otorimonogatari, Onimonogatari, Koimonogatari",8.77,350075,"TV","Light novel",26,"Finished Airing",2013-07-07,2013-12-29,25,"Summer","2013","Sunday","00:00","Aniplex, Kodansha, Cyclone Graphics","Aniplex of America","Shaft","Comedy, Mystery, Romance, Supernatural",NA,NA,"25 min","R - 17+ (violence & profanity)",298,655205,23184,79,85,"https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season","https://cdn.myanimelist.net/r/50x70/images/anime/1807/121534.jpg?s=2f42455822fc348ba1fd6c50e94fcce1"
48583,43,"Shingeki no Kyojin: The Final Season Part 2","Attack on Titan: Final Season Part 2","Shingeki no Kyojin Season 4, Attack on Titan Season 4",8.77,663518,"TV","Manga",12,"Finished Airing",2022-01-10,2022-04-04,12,"Winter","2022","Monday","00:05","Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Pony Canyon Enterprises",NA,"MAPPA","Action, Drama","Gore, Military, Survival","Shounen","23 min","R - 17+ (violence & profanity)",113,1182336,29525,123,178,"https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2","https://cdn.myanimelist.net/r/50x70/images/anime/1948/120625.jpg?s=53584a9c479506f8c779fb38b02d1a6d"
