"Unique.IDs","Ranking","Anime.Title","Synonyms","Score","Type","Source","Episode.Count","Status","Aired.from","Aired.to","Season","Release.Year","Broadcast","Producers","Licensors","Studio","Genre","Theme","Demographic","Duration","Rating","Popularity.Ranking","Member.Views","Favorite.Marks","Recommended.Numbers","Total.reviews","Anime.URLs","Picture.URLs"
32182,131,"Mob Psycho 100","Mob Psycho Hyaku, Mob Psycho One Hundred",8.49,"TV","Web manga",12,"Finished Airing","Jul 11, 2016","Sep 27, 2016","Summer","2016","Tuesdays at 00:00 (JST)","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation, Crunchyroll","Bones","Action, Comedy, Supernatural",NA,NA,"24 min. per ep.","PG-13 - Teens 13 or older",32,1996582,46359,218,244,"https://myanimelist.net/anime/32182/Mob_Psycho_100","https://cdn.myanimelist.net/r/50x70/images/anime/8/80356.jpg?s=1d7f8902c64d166b821e50ea68267c2a"
30654,132,"Ansatsu Kyoushitsu 2nd Season","Ansatsu Kyoushitsu Season 2, Ansatsu Kyoushitsu Final Season",8.49,"TV","Manga",25,"Finished Airing","Jan 8, 2016","Jul 1, 2016","Winter","2016","Fridays at 01:25 (JST)","Dentsu, Studio Hibari, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting","Funimation","Lerche","Action, Comedy",NA,"Shounen","23 min. per ep.","PG-13 - Teens 13 or older",85,1385905,17376,182,194,"https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season","https://cdn.myanimelist.net/r/50x70/images/anime/8/77966.jpg?s=4161bf9d25a2816af9642ead2cd3a831"
33049,133,"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly","Fate/stay night Movie: Heaven's Feel 2",8.49,"Movie","Visual novel",1,"Finished Airing","Jan 12, 2019",NA,NA,NA,NA,"Aniplex, Notes, Kadokawa","Aniplex of America","ufotable","Action, Fantasy, Supernatural",NA,NA,"1 hr. 57 min.","R - 17+ (violence & profanity)",595,373833,3423,52,61,"https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly","https://cdn.myanimelist.net/r/50x70/images/anime/1974/98158.jpg?s=ec1b1ac07bd5fcd166381a293ae7dbee"
3297,134,"Aria the Origination","Aria Season 3",8.48,"TV","Manga",13,"Finished Airing","Jan 8, 2008","Apr 1, 2008","Winter","2008","Tuesdays at 02:00 (JST)","Production I.G, TV Tokyo, Media Factory, Shochiku, Mag Garden","Nozomi Entertainment","Hal Film Maker","Fantasy, Sci-Fi, Slice of Life",NA,"Shounen","24 min. per ep.","G - All Ages",1682,125580,4090,54,58,"https://myanimelist.net/anime/3297/Aria_the_Origination","https://cdn.myanimelist.net/r/50x70/images/anime/1394/129606.jpg?s=40be9ddec07ac7f8c452e436a2992771"
36649,135,"Banana Fish",NA,8.48,"TV","Manga",24,"Finished Airing","Jul 6, 2018","Dec 21, 2018","Summer","2018","Fridays at 00:55 (JST)","Aniplex, Dentsu, Movic, Fuji TV, Shogakukan",NA,"MAPPA","Action, Adventure, Drama, Suspense","Delinquents, Organized Crime, Psychological","Shoujo","22 min. per ep.","R - 17+ (violence & profanity)",203,829822,29454,193,236,"https://myanimelist.net/anime/36649/Banana_Fish","https://cdn.myanimelist.net/r/50x70/images/anime/1190/93472.jpg?s=a44d13e8e51c4c0e8f80f019e142614c"
6114,136,"Rainbow: Nisha Rokubou no Shichinin","Rainbow: Criminal Seven of Compound Two Cell Six",8.48,"TV","Manga",26,"Finished Airing","Apr 7, 2010","Sep 29, 2010","Spring","2010","Wednesdays at 00:59 (JST)","VAP, Nippon Television Network","Funimation","Madhouse","Drama, Suspense","Delinquents, Historical","Seinen","22 min. per ep.","R - 17+ (violence & profanity)",568,386163,8320,132,154,"https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin","https://cdn.myanimelist.net/r/50x70/images/anime/9/72697.jpg?s=4752a62572e2172fe039d10d7163a125"
11981,137,"Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari","Mahou Shoujo Madoka Magika Movie 3, Magical Girl Madoka Magica Movie 3",8.47,"Movie","Original",1,"Finished Airing","Oct 26, 2013",NA,NA,NA,NA,"Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha","Aniplex of America","Shaft","Award Winning, Drama, Mystery, Suspense","Mahou Shoujo, Psychological",NA,"1 hr. 56 min.","PG-13 - Teens 13 or older",607,367699,8522,81,116,"https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari","https://cdn.myanimelist.net/r/50x70/images/anime/5/54231.jpg?s=290c9412a715da372f5393aa76a8c5d6"
53236,138,"Road of Naruto","Naruto 20th Anniversary PV",8.47,"ONA","Manga",1,"Finished Airing","Oct 3, 2022",NA,NA,NA,NA,"None found, add some",NA,"Pierrot","Action, Fantasy",NA,"Shounen","9 min.","PG-13 - Teens 13 or older",3880,30240,109,5,5,"https://myanimelist.net/anime/53236/Road_of_Naruto","https://cdn.myanimelist.net/r/50x70/images/anime/1731/128787.jpg?s=bf5ba8e6be8d41201104efca93441fa0"
37379,139,"Chihayafuru 3","Chihayafull 3",8.47,"TV","Manga",24,"Finished Airing","Oct 23, 2019","Mar 25, 2020","Fall","2019","Wednesdays at 01:29 (JST)","Kodansha, Nippon Television Network, TC Entertainment, Nippon Television Music, FBC","Sentai Filmworks","Madhouse","Drama, Sports","Love Polygon, School, Strategy Game","Josei","22 min. per ep.","PG-13 - Teens 13 or older",1579,135839,1491,33,37,"https://myanimelist.net/anime/37379/Chihayafuru_3","https://cdn.myanimelist.net/r/50x70/images/anime/1898/110709.jpg?s=43f1e4859f31ae7b736048e1aeafa246"
44087,140,"Gintama: The Semi-Final",NA,8.47,"Special","Manga",2,"Finished Airing","Jan 15, 2021","Jan 20, 2021",NA,NA,NA,"None found, add some",NA,"Bandai Namco Pictures","Action, Comedy","Gag Humor, Historical, Parody, Samurai","Shounen","24 min. per ep.","PG-13 - Teens 13 or older",2431,72003,241,3,4,"https://myanimelist.net/anime/44087/Gintama__The_Semi-Final","https://cdn.myanimelist.net/r/50x70/images/anime/1694/110521.jpg?s=b433e81b786eb85104bf7621078f4509"
